__ 30 17 02 __ 25 13 32 
31 28 23 18 06 05 08 00 
21 24 16 27 04 15 34 20 
11 09 29 19 22 35 07 __ 
__ 33 01 26 12 10 14 03 

21 07 18 15 31 16 23 01 
13 28 04 __ 00 06 03 10 
32 09 19 14 12 33 02 11 
24 34 30 20 17 08 __ 05 
26 27 22 25 35 __ __ 29 

00 29 23 27 15 05 __ 28 
20 02 08 21 19 30 13 18 
32 11 07 03 17 22 25 04 
06 24 __ 16 10 33 26 __ 
34 09 31 01 12 35 __ 14 

35 18 20 04 __ 09 01 02 
27 22 23 33 30 28 07 15 
12 __ 13 14 __ __ 32 34 
29 26 03 16 25 06 11 24 
00 31 08 17 10 21 19 05 

00 33 __ 03 16 17 19 10 
24 28 05 08 34 23 02 12 
06 __ 04 14 27 21 09 07 
32 18 11 31 01 29 15 __ 
30 __ 25 20 22 26 35 13 

27 31 25 19 09 __ 13 10 
30 33 21 16 15 24 14 01 
__ 20 29 06 32 05 __ 03 
11 02 08 17 04 35 07 22 
34 12 26 18 __ 23 00 28 

26 __ 05 22 17 00 16 20 
15 12 13 03 10 02 __ 35 
__ 19 11 23 32 18 33 24 
14 25 09 29 30 28 31 06 
34 04 27 __ 01 08 21 07 

07 21 12 35 11 20 24 06 
32 30 25 22 __ 13 14 33 
16 18 02 28 34 26 05 10 
27 17 __ 03 08 00 04 15 
__ 01 31 __ 09 23 19 29 

06 25 23 21 __ 05 02 18 
22 00 27 04 35 __ 17 13 
32 01 10 34 24 03 08 30 
07 29 31 __ 33 14 12 15 
16 28 11 20 09 __ 26 19 

27 14 __ 25 08 __ 22 12 
28 01 24 __ 32 05 06 13 
33 20 21 26 18 34 03 04 
16 35 15 23 00 19 07 __ 
02 11 30 09 10 17 29 31 

28 09 00 07 16 18 17 __ 
26 29 22 04 33 27 23 06 
08 32 19 __ 10 21 13 31 
15 01 __ 03 30 11 05 20 
25 24 02 __ 12 34 35 14 

24 07 34 15 19 10 __ 12 
35 33 11 05 01 __ 31 __ 
23 29 00 09 16 08 03 25 
17 06 28 22 26 27 __ 14 
04 30 21 18 13 32 02 20 

27 01 15 28 06 24 04 03 
29 12 33 35 22 07 __ 25 
20 11 08 32 13 16 31 26 
__ 23 __ 00 __ 30 10 34 
05 17 02 19 14 21 18 09 

32 16 35 07 26 06 18 __ 
10 25 28 19 21 31 27 11 
24 22 05 15 __ 12 14 08 
__ 33 17 __ 34 09 03 20 
02 13 30 00 23 29 01 04 

34 16 __ 18 03 08 02 29 
24 20 23 07 __ 13 21 06 
22 28 __ 14 27 19 01 17 
31 00 12 32 26 09 04 35 
30 15 25 __ 33 10 11 05 

28 08 31 22 35 00 01 26 
__ 06 __ 23 12 07 27 04 
19 30 03 10 02 25 __ 34 
14 33 32 29 18 11 20 16 
09 __ 21 17 05 24 13 15 

20 01 06 28 26 17 23 04 
__ 30 __ __ 02 35 14 07 
09 08 29 19 18 34 10 11 
27 05 32 15 24 33 00 25 
12 16 __ 03 21 13 22 31 

29 35 27 26 28 19 10 25 
09 __ 31 __ 08 33 01 11 
03 34 32 04 15 02 18 24 
21 13 23 00 __ 06 16 14 
30 17 __ 22 20 05 12 07 

20 35 10 04 __ 19 21 30 
06 __ 03 15 __ 34 23 22 
00 __ 18 07 17 33 16 27 
11 28 08 32 01 09 26 12 
05 29 24 13 02 25 31 14 

00 32 __ 09 27 04 30 __ 
03 35 13 28 25 05 19 11 
06 01 31 16 20 14 23 24 
17 __ 18 12 10 02 22 34 
26 08 15 07 __ 33 29 21 

03 31 30 25 35 04 __ 23 
27 __ 07 __ 00 15 13 18 
10 __ 33 11 16 22 01 28 
